x	y	color
40608.875	8670.14453125	0
40640.8125	8700.9296875	0
40591.6015625	9104.5634765625	0
40591.8046875	9237.9248046875	0
40726.61328125	9264.14453125	0
40657.453125	9259.83984375	0
40700.78125	9246.828125	0
40501.07421875	9817.865234375	0
40544.48828125	9364.0771484375	0
40665.82421875	9186.1748046875	0
40672.7890625	9229.39453125	0
40673.48046875	9211.9619140625	0
40546.234375	8341.3359375	0
40508.73046875	8306.3310546875	0
40550.40625	8307.6591796875	0
40506.48828125	8410.0419921875	0
40546.4453125	8474.609375	0
40546.41796875	8432.0107421875	0
40515.43359375	8612.2451171875	0
40564.875	8611.0654296875	0
40515.00390625	8665.0908203125	0
40638.3515625	8597.7490234375	0
40508.6796875	8552.185546875	0
40549.21484375	8537.5390625	0
40526.2265625	8506.22265625	0
40471.85546875	8447.9775390625	0
40466.828125	8603.638671875	0
40474.27734375	8326.013671875	0
40458.75	8564.373046875	0
40470.953125	8378.681640625	0
40480.01953125	8510.9169921875	0
40404.97265625	8527.99609375	0
40339.94921875	8581.525390625	0
40389.62109375	8574.15625	0
40435.78125	8546.5673828125	0
40363.6328125	8545.2548828125	0
40396.98828125	8464.6201171875	0
40440.54296875	8503.009765625	0
40338.94140625	8468.5009765625	0
40428.328125	8342.232421875	0
40410.57421875	8394.125	0
40385.70703125	8344.23828125	0
40728.046875	7912.232421875	0
40681.55078125	7907.90478515625	0
40815.41015625	8387.5302734375	0
40703.63671875	8546.4716796875	0
40778.47265625	8524.8662109375	0
40797.75390625	8429.6845703125	0
40808.32421875	8493.955078125	0
40781.81640625	8461.4228515625	0
40678.80859375	8210.8515625	0
40714.09375	8350.9638671875	0
40748.8515625	8280.5166015625	0
40696.06640625	8242.9189453125	0
40784.7578125	8322.5439453125	0
40699.65625	8591.30078125	0
40746.62890625	8715.7431640625	0
40795.8359375	8662.7099609375	0
40773.23046875	8720.333984375	0
40765.796875	8662.71875	0
40697.2265625	8683.537109375	0
40666.640625	8726.5830078125	0
40713.109375	8709.189453125	0
40733.66796875	8675.2158203125	0
40727.2421875	8629.310546875	0
40622.875	11453.201171875	0
34603.7734375	11396.6787109375	0
34568.25	11425.9013671875	0
34784.40234375	11358.6435546875	0
35818.91015625	8222.580078125	0
35697.70703125	8544.3330078125	0
35628.5859375	8489.580078125	0
35711.80078125	8441.3798828125	0
35626.31640625	9096.13671875	0
35676.01953125	9078.2373046875	0
35674.796875	9193.3125	0
35651.20703125	9141.3662109375	0
35721.3671875	9034.1787109375	0
35785.078125	8990.37109375	0
35762.265625	9012.7080078125	0
35755.6953125	9043.9658203125	0
33951.328125	7959.58447265625	0
36398.34375	12233.0986328125	0
34432.94921875	12389.9951171875	0
34361.9375	12201.9931640625	0
34430.1640625	12174.6982421875	0
34267.671875	12203.962890625	0
38144.55078125	12282.1318359375	0
35484.125	8980.80859375	0
35555.11328125	9008.345703125	0
35474.40625	9100.9951171875	0
35555.1171875	9100.7802734375	0
35466.8984375	9387.736328125	0
